,,,,,,,,,,
,,,,,,,,,,Prompt:
,28,강수량 어림잡다 날짜:7월13일 제주 10 물결표 30 mm 지도 인근 놀리다 비내리다 5 물결표 30 mm 지도 중부 영동 빼다 5 물결표 20 mm,예상 강수량 7월 13일 - 제주도 10~30mm - 내륙(소나기) 5~30mm - 중부(강원영동제외) 5~20mm,"7월 13일 예상 강수량은 제주 10~30mm, 인근 남부 지역 5~30mm, 중부와 영동을 제외한 지역은 5~20mm로 전망됩니다.","7월 13일 강수량을 대략 예측하면 제주에서 약 30 mm의 비가 오고, 인근 지역은 5시간에 30 mm, 중부 및 영동 지역은 5시간에 20 mm로 예상됩니다.","7월 13일 예상 강수량은 제주도 10~30mm, 그 외 지역 5~30mm입니다. 중부 지방과 영동 지방을 제외한 전국에 5~20mm의 비가 내리겠습니다.","7월 13일 예상 강수량입니다. 제주도 10~30mm, 인근 도서 지역 5~30mm, 중부지방(영동 제외)은 5~20mm의 비가 내릴 것으로 보입니다",,,
,29,오늘 오후 시:1시 서울 역촌 뒤 산불 인근 살다 사람 또 등산 사람 산 지시 편하다 장소 도망 부탁,"오늘 13:00 서울 역촌 뒷산 산불, 인근 주민과 등산객은 산에서 멀리 떨어진 안전한 곳으로 대피 바랍니다.",오늘 오후 1시경 서울 역촌동 인근 산에서 화재가 발생했습니다. 주변 거주민과 등산객께서는 안전한 장소로 대피해 주시기 바랍니다.,"오늘 오후 1시, 서울 역촌 뒤쪽에서 산불이 발생해 인근 주민과 등산객들이 위험에 처했습니다. 안전한 장소로 대피하시길 부탁드립니다.",오늘 오후 1시경 서울 역촌동 인근에서 산불이 발생했습니다. 인근 주민과 등산객들은 신속히 안전한 곳으로 대피해 주시기 바랍니다.,오늘 오후 1시경 서울 역촌동 뒤편 산불이 발생했습니다. 인근 주민과 등산객은 즉시 산에서 멀어져 안전한 장소로 대피해 주시기 바랍니다,,,
,30,내일 아침 시작 심하다 강하다 바람 정도 비내리다 정도 오다 터널 산 비탈길 땅물체 위험 지역 도망 바다 길 침수 주차 다르다 장소 주자동차 이동 조심 약하다 사람 밖 조심 밖 활동 조심 부탁,내일 오전부터 강풍을 동반한 많은 비 예상 ▲터널 출입구 ▲비탈면 보강재 이용 ▲산사태 위험지역 대피 ▲해안가 저지대 주차 차량 안전조치 ▲노약자 외출 자제 ▲야외활동 자제 등 안전에 유의 바랍니다.,"내일 아침부터 강한 바람과 많은 비가 예상됩니다. 터널, 산비탈, 낙석 위험 지역은 접근을 피하고, 해안 도로 침수와 주차 차량 피해에 유의해 주십시오. 야외 활동은 자제하시고, 특히 보행자와 운전자는 각별히 조심해 주시기 바랍니다.","내일 아침부터 강풍과 비가 몰아쳐 터널 사용이 제한되고 도로가 복잡해져 차량 운행이 어려워집니다. 특히 체력이 약한 분들은 외출을 자제하시고, 주차 및 이동 시 조심하십시오.","내일 아침부터 강한 비바람이 예상됩니다. 터널 주변이나 산비탈 등 산사태 위험 지역에서 대피하시고, 해안가 침수나 주차장 침수에 대비하여 차량을 안전한 곳으로 이동시키는 등 안전사고에 각별히 유의해 주시기 바랍니다.","내일 아침부터 매우 강한 비바람이 예상됩니다. 터널, 산비탈 등 산사태 위험 지역 접근을 피하고, 해안가 침수 우려 지역에 주차된 차량은 안전한 곳으로 이동해 주십시오. 노약자는 야외 활동을 자제해 주시기 바랍니다",,,
,31,저녁 동쪽 지도 바다 지도 멀다 파도 지시 물고기 배 멈추다 피해 무너지다 조심,"1월 7일 13시 동해중부먼바다 풍랑, 어항을 통제하니 피해없도록 주의바랍니다","오늘 저녁 동쪽 해상에는 높은 파도가 예상됩니다. 어선과 낚시선은 출항을 자제하고, 시설물 피해와 붕괴 위험에 주의해 주십시오.",저녁에는 동쪽 해안이 멀리 보이며 파도가 거세게 밀려와 물고기 배(선박)가 정지해야 합니다. 큰 피해가 발생하고 구조물이 무너질 수 있으니 주의하세요.,"동해 먼바다를 중심으로 높은 파도가 예상됩니다. 출항 중인 어선은 안전한 곳으로 대피하시고, 시설물 파손 및 침수 피해가 없도록 각별히 주의하시기 바랍니다.","오늘 저녁 동해 먼바다에는 파도가 높게 일겠으니, 어선은 조업을 중단하고 피해가 없도록 주의하시기 바랍니다",,,
,32,강릉 도시 지역 축소 성산면 안 산불 사고 사고 지시 가깝다 북쪽 등산 북쪽 조심,강릉시 성산면 산불이 발생하였습니다. 인근 주민과 등산객은 안전에 주의하시기 바랍니다.,"강릉시 성산면 일대에서 산불이 발생했습니다. 인근 북쪽 등산로는 통제되었으니 접근을 삼가고, 해당 지역 주민과 등산객께서는 각별히 주의하시기 바랍니다.",강릉 시내에서는 성산면에 산불이 발생했으며 사고가 가깝습니다. 북쪽으로 등산을 계획 중이라면 주의하시기 바랍니다.,"강릉시 성산면 인근에서 산불이 발생했습니다. 산불 현장에 접근하지 마시고, 인근 등산객과 주민들은 신속히 안전한 곳으로 대피하시기 바랍니다.","강릉시 성산면 일대에서 산불이 발생했으니, 인근 북쪽 지역 등산객들은 각별히 주의하시기 바랍니다",,,
,33,오늘 아침 시:8시37분 군포 도시 지역 안 산본 중 시장 장소 롯데리아 시설 불타다 사고 북쪽 편하다 장소 도망,오늘 08:37 군포시 산본중심상가 롯데리아 건물 화재 발생. 인근 주민은 안전한 곳으로 대피하시기 바랍니다.,오늘 오전 8시 37분경 군포시 산본 중앙시장 인근 롯데리아 건물에서 화재가 발생했습니다. 북쪽 방향 인근에 계신 분들은 안전한 장소로 대피해 주시기 바랍니다.,"오늘 아침 8시 37분, 군포 시내에서 산본 중 시장 부근의 롯데리아 시설이 화재를 일으켰습니다. 북쪽 쪽은 안전한 편이지만 현장을 빠르게 대피하시기 바랍니다.","오늘 아침 8시 37분경, 군포시 산본동 산본시장 인근 롯데리아 건물에서 화재가 발생했습니다. 인근에 계신 분들은 즉시 안전한 곳으로 대피해 주시기 바랍니다.","오늘 아침 8시 37분경, 군포시 산본 중심상가 롯데리아에서 화재가 발생했으니, 북쪽의 안전한 곳으로 대피하시기 바랍니다",,,
,34,오늘 저녁 시:5시50분 양북 지역 상금 지역 산 31 하이픈 5 두북 아파트 밖 교통사고 자동차밀리다 북쪽 운전 조심,금일 17시50분 현재 양북면 상금리 산31-5번지 두북아파트 앞 교통사고로 교통이 혼잡하니 차량운행을 자제해주시기 바랍니다.,오늘 오후 5시 50분경 양북면 상금리 31-5 두북아파트 인근에서 교통사고로 차량 정체가 발생했습니다. 북쪽 방면 운전자께서는 서행하며 주의해 주시기 바랍니다.,"오늘 저녁 5시 50분, 양북 지역의 상금 산(고도 31m) 근처에서 두북 아파트 외부에서 교통사고가 발생해 차량이 밀려났습니다. 북쪽 방향으로 운전할 때는 더욱 조심하시기 바랍니다.",오늘 저녁 5시 50분경 양북면 상금리 산 31-5번지 두북아파트 인근에서 교통사고가 발생하여 극심한 정체가 빚어지고 있습니다. 해당 구간 운전 시 각별히 유의하시기 바랍니다.,"오늘 저녁 5시 50분경, 양북면 상금리 산 31-5 두북아파트 인근에서 교통사고가 발생하여 차량 정체가 빚어지고 있으니, 북쪽으로 운행하는 차량은 주의하시기 바랍니다",,,
,35,강수량 어림잡다 강원 5 물결표 30 mm,예상강수량(3일) - 강원도 5-30mm,강원 지역의 예상 강수량은 5~30mm입니다.,강원 지역의 예상 강수량은 약 30 mm입니다.,강원 지역의 예상 강수량은 5~30mm입니다.,강원 지역의 예상 강수량은 5에서 30mm입니다,,,
,36,강원 인제 지역 얼음 춥다 위험 발표 발표 밖 행동 하지마 하지마 수도꼭지 폭발 불타다 사고 여러가지 조심 늙다 밖 하지마 하지마,"강원(인제군) 한파 경보 발효. 야외활동 자제, 수도동파 방지, 화재사고 등 안전에 유의하시고 노약자 외출 자제 바랍니다.","강원 인제 지역에 한파와 결빙 위험이 커졌다고 발표됐습니다. 불필요한 외출은 삼가고, 수도꼭지 동파나 화재 등 각종 사고에 유의해 주시기 바랍니다. 특히 노약자는 외출을 자제해 주세요.",강원 인제 지역에서는 얼음이 차가워 위험합니다. 발표에 따라 외출을 삼가고 수도꼭지가 폭발하거나 불이 붙는 사고가 잇따르니 특히 노인분들은 밖으로 나가지 않도록 주의하세요.,"강원도 인제 지역에 한파 경보가 발효되었습니다. 노약자는 외출을 자제해 주시고, 수도계량기 동파 및 화재 예방 등 각종 안전사고에 각별히 유의하시기 바랍니다.","강원 인제 지역에 한파 특보가 발효되었습니다. 수도 계량기 동파 및 화재 등 각종 안전사고에 유의하시고, 노약자는 외출을 자제해 주시기 바랍니다.",,,
,37,건조 계속 원인 물 부족하다 심하다 물 사용 하지마 부탁,관내 가뭄 지속으로 물 부족이 심각하오니 물 사용을 자제하여 주시기 바랍니다.,지속된 건조로 인해 물 부족이 심각합니다. 주민 여러분께서는 물 사용을 최대한 자제해 주시기 바랍니다.,지속되는 건조 현상은 물 부족이 원인입니다. 상황이 심각하니 물 사용을 자제해 주시기 바랍니다.,지속되는 건조한 날씨로 인해 용수가 매우 부족한 상황입니다. 가뭄 극복을 위해 물 절약에 적극 동참해 주시기를 부탁드립니다.,"계속되는 건조한 날씨로 인해 물 부족이 심각하니, 물 사용을 자제해 주실 것을 당부드립니다.",,,
,38,진도 가깝다 사고 장소 날 정보 발표 구름 파도 오전 0.5 하이픈 1 m 오후 1 하이픈 2 m 바람 8 하이픈 12 m 빗금 s 바람 거세다 파도 높다,"진도부근 사고해역 기상 전망 - 구름많음 파도 : 오전 0.5~1.0m, 오후 1.0~2.0m 풍속 : 8~12m/s 로 바람이 강하게 불고 물결이 높게 일겠습니다.","진도 인근 해상 사고 관련 기상 정보입니다. 오늘 파도는 오전 0.5~1m, 오후 1~2m로 높아지겠고, 바람은 초속 8~12m로 점차 강해질 전망입니다. 바람이 거세고 파도가 높아 주의가 필요합니다.","진도는 가까운 곳에 위치해 있으며 사고 현장 정보를 발표했습니다. 오전에는 파도가 0.5~1 미터, 오후에는 1~2 미터로 상승하고, 풍속은 8~12 m/s이며 강풍과 큰 파도가 예상됩니다.","진도 인근 해역의 기상 정보입니다. 구름이 많고 오전 파고는 0.5~1m, 오후는 1~2m로 일겠으며, 초속 8~12m의 강한 바람과 함께 물결이 높게 일겠으니 주의하시기 바랍니다.","진도 사고 해역의 기상 정보입니다. 구름이 끼겠으며, 파고는 오전 0.5~1m, 오후 1~2m로 일겠고, 바람은 8~12m/s로 강하게 불고 파도가 높겠습니다",,,
,39,어림잡다 강수량 전북 경북 충남 지역 남쪽 5 mm 아래 전남 경남 5 하이픈 20 아래 길 전남 경남 제주 30 하이픈 50 많다 눈내리다 80 mm 초과,"예상강수량 - 전북, 경북, 충청남부 : 5mm미만 - 전남, 경남 : 5~20mm - 남해안(전남, 경남)제주 : 30~50(많은 곳 80mm 이상)","예상 강수량은 전북·경북·충남 남부 5mm 미만, 전남·경남 5~20mm, 전남·경남·제주는 30~50mm로 많은 곳이 있겠으며, 산지에는 최대 80mm 이상 내릴 것으로 보입니다.","전라북도·경상북도·충청남도 남쪽에서는 약 5 mm의 강수량이 예상됩니다. 전라남도와 경상남도의 경우는 5~20 mm이며, 제주 및 그 지역 하단 도로에서는 30~50 mm가 낙하할 전망입니다. 눈은 80 mm를 초과하는 폭설이 우려됩니다.","예상 강수량은 전북, 경북, 충남 남부 5mm 미만, 전남과 경남은 5~20mm입니다. 제주도와 전남, 경남 일부 지역은 30~50mm, 산간 지역은 80mm 이상의 많은 눈이 내리는 곳도 있겠습니다.","예상 강수량은 전북, 경북, 충남 남부는 5mm 미만, 전남과 경남은 5~20mm, 전남 해안과 경남 해안, 제주도는 30~50mm, 많은 곳은 80mm 이상의 눈이나 비가 내리겠습니다",,,
,40,마이너스 13 마이너스 1 남쪽 아침 제일 온도내려가다 3 11 남쪽 낮 제일 온도올라가다,"아침 최저기온은 영하 13도에서 영하 1도, 낮 최고기온은 3도에서 11도가 되겠습니다.","아침 최저기온은 북부 –13도, 남부 –1도까지 떨어지겠고, 낮 최고기온은 북부 3도, 남부 11도까지 오르겠습니다.","남쪽 지역에서는 아침 최저 기온이 -13 °C에서 -1 °C 사이로 떨어질 것으로 예상되며, 낮 최고 기온은 상승할 전망입니다.","오늘 아침 최저 기온은 영하 13도에서 영하 1도, 낮 최고 기온은 3도에서 11도의 분포를 보이며 남부 지방을 중심으로 기온이 오르겠습니다.","아침 최저 기온은 영하 13도에서 영하 1도, 낮 최고 기온은 3도에서 11도의 분포를 보이겠습니다",,,
,41,멀다 바다 바람 주의보 오늘 끝,먼바다에 발효 중인 풍랑주의보는 오늘 해제되겠습니다.,먼바다 풍랑주의보는 오늘부로 해제됩니다.,바다에서 멀리 떨어진 지역에 대한 바람 주의보가 오늘 종료되었습니다.,먼바다에 발효 중이었던 풍랑주의보가 오늘 중으로 모두 해제될 예정입니다.,먼바다에 내려진 풍랑주의보는 오늘 해제되겠습니다,,,
,42,운연 장소 산 634 하이픈 95 백두한양 아파트 아파트 지시 산불 언제 오늘 아침 시:9시10분 인근 북쪽 편하다 편하다 장소 도망 부탁,오늘 09:10 운연동 산 634-95 백두한양아파트 인근 산불이 발생하였으니 인근 주민께서는 안전한 곳으로 대피하시기 바랍니다.,"오늘 오전 9시 10분경 운연동 산 634-95, 백두한양아파트 인근에서 산불이 발생했습니다. 북쪽 인근 주민께서는 안전한 장소로 대피해 주시기 바랍니다.","오늘 아침 9시 10분, 운연 지역 산(고도 634m)과 백두한양 아파트 주변에서 산불이 발생했습니다. 인근 북쪽은 안전하니 해당 장소를 빠르게 대피해 주십시오.",오늘 아침 9시 10분경 운연동 산 634-95 백두한양아파트 인근에서 산불이 발생했습니다. 인근 주민들은 신속하고 안전한 곳으로 대피해 주시기 바랍니다.,"오늘 아침 9시 10분경, 운연동 산 634-95번지 백두한양아파트 인근에서 산불이 발생했습니다. 인근 주민들은 북쪽의 안전한 곳으로 대피하시기 바랍니다",,,
,43,낮 최고기온 마이너스 3 7 남쪽 아침 최저기온 마이너스 14 1 남쪽,"아침 최저기온은 -14도에서 1도, 낮 최고기온은 -3도에서 7도가 되겠습니다.","낮 최고기온은 북부 –3도에서 남부 7도, 아침 최저기온은 북부 –14도에서 남부 1도로 예상됩니다.","남쪽 지역에서는 낮 최고 기온이 -3 °C에서 7 °C 사이이며, 아침 최저 기온은 -14 °C에서 -1 °C로 떨어질 전망입니다.","오늘 아침 최저기온은 영하 14도에서 1도, 낮 최고기온은 영하 3도에서 7도의 분포를 보이며 남부 지방을 중심으로 기온이 낮겠습니다.","아침 최저기온은 영하 14도에서 영상 1도, 낮 최고기온은 영하 3도에서 영상 7도가 되겠습니다",,,
,44,산 땅물체 침수 여러번 장소 위험 장소 도망 밖 하지마 조심 왜 오늘 저녁 시:5시30분 전남 지역 장흥 경북 지역 포항 비내리다,"오늘 17시30분 전남(장흥), 경북(포함) 호우. 산사태ᆞ상습침수 등 위험지역 대피,  외출자제 등 안전에 주의바랍니다.","산사태와 침수 위험이 반복적으로 발생하는 지역입니다. 오늘 오후 5시 30분부터 전남 장흥과 경북 포항에 비가 내릴 예정이니, 위험 지역에서는 외출을 삼가고 안전한 곳으로 대피해 주시기 바랍니다.",오늘 저녁 5시 30분에 전남 장흥과 경북 포항 지역에서 비가 내리면서 산과 지면이 여러 차례 침수되고 있습니다. 해당 장소는 위험하므로 외출을 삼가고 주의하시기 바랍니다.,오늘 저녁 5시 30분부터 전남 장흥과 경북 포항 지역에 비가 내리고 있습니다. 산사태 및 침수 위험 지역에 계신 분들은 신속히 대피하시고 외출을 자제하는 등 안전에 유의하시기 바랍니다.,"오늘 저녁 5시 30분 현재 전남 장흥과 경북 포항 지역에 비가 내리고 있습니다. 산사태나 상습 침수 구역 등 위험 지역에 계신 분들은 대피하시고, 외출을 자제하는 등 각별히 주의하시기 바랍니다",,,
,45,2021 날짜:1월6일 저녁 시:5시 웅진 지역 서해 5 도 지역 바람 올것이다 배 잠그다 묶다 시설 장소 사고 없다 조심,"2021. 1. 6. 17시 옹진군 강풍, 옹진군, 서해5도 지역 강풍. 선박결박, 시설물 피해에 유의 바랍니다.","2021년 1월 6일 오후 5시, 웅진 지역 서해5도 일대에 강한 바람이 예상됩니다. 선박은 결박하고 시설물은 단단히 고정해 사고가 없도록 주의해 주시기 바랍니다.","2021년 1월 6일 저녁 5시, 웅진 지역과 서해 도로 주변에서 바람이 불어올 예정입니다. 배를 잠그고 묶어 두며 시설은 사고가 없으나 주의하시기 바랍니다.","2021년 1월 6일 오후 5시경 서해 5도 웅진 지역에 강풍이 예상됩니다. 선박은 단단히 결박해 주시고, 각종 시설물 사고가 없도록 사전에 철저히 점검해 주시기 바랍니다.","2021년 1월 6일 저녁 5시, 옹진군 서해 5도 지역에 강풍이 예보되었습니다. 선박을 단단히 고정하고 시설물을 점검하여 피해가 없도록 주의하시기 바랍니다",,,
,46,오늘 오후 시:1시45분 광주 지역 초월 지역 월정 지역 498 하이픈 5 길 광주 방향 1 차 길 자동차 자동차 사고 가깝다 장소 자동차,금일 13:45 광주시 초월읍 월정리 498-5번 국도 광주방향 1차선 차량 전복사고 발생. 인근 도로로 우회바랍니다.,"오늘 오후 1시 45분경 광주 초월읍 월정리 498-5 인근, 광주 방향 1차로에서 차량 사고가 발생했습니다. 인근 구간을 지나는 차량은 각별히 주의해 주시기 바랍니다.",오늘 오후 1시 45분에 광주 지역 초월·월정 지역 498번길(하이픈 5)에서 한 차선으로 진행되는 차량 사고가 발생해 해당 장소 근처에 위험이 있습니다.,오늘 오후 1시 45분경 광주시 초월읍 월정리 498-5번지 인근 도로 광주 방향 1차선에서 추돌 사고가 발생했습니다. 해당 구간을 지나시는 운전자분들은 안전에 주의하시기 바랍니다.,"오늘 오후 1시 45분경, 광주시 초월읍 월정리 498-5번지 광주 방향 1차로에서 차량 추돌 사고가 발생했으니, 인근을 지나는 차량은 주의하시기 바랍니다",,,
,47,땅 아래 지역 감천 장소 산불 언제 오늘 낮 시:12시 자동차 걷다 금지 자동차 걷다 부탁,금일 12시경 발생한 사하구 감천동 산불로 인해 차량 및 보행자 통행을 금지하오니 우회하여 주시기 바랍니다.,"오늘 낮 12시경 감천 지하 지역 인근에서 산불이 발생했습니다. 해당 구간은 차량 통행과 보행을 금지하오니, 접근을 삼가 주시기 바랍니다.","오늘 낮 12시, 감천 지역 아래 땅에서 산불이 발생했습니다. 해당 구역에서는 차량 운행을 금지하고 주의를 부탁드립니다.","오늘 낮 12시경 감천면 지하차도 인근에서 산불이 발생했습니다. 현재 해당 지역의 차량 통행 및 보행을 금지하오니, 시민 여러분의 적극적인 협조 부탁드립니다.","오늘 낮 12시경 감천 지역에서 산불이 발생하여 차량 및 보행자의 통행을 금지하오니, 우회하여 주시기 바랍니다",,,
